CB Status,R,V,I,P,Q,VPU,IPU,PPU,QPU,Voltage PU,Current PU,Power PU,Reactive PU
TIE 10 TIE 21,1,14614.75918,16.48092008,840961.8718,-137184.6147,1.461475918,0.824046004,8.409618718,-1.371846147,10000,20,100000,100000
TIE 10 TIE 21,1,14707.56391,16.16301639,826942.5402,-150744.5965,1.470756391,0.808150819,8.269425402,-1.507445965,10000,20,100000,100000
TIE 10 TIE 21,1,14718.94748,16.19245433,837955.4239,-140470.5753,1.471894748,0.809622717,8.379554239,-1.404705753,10000,20,100000,100000
TIE 10 TIE 21,1,14570.11591,17.27377218,902914.5392,-100860.3449,1.457011591,0.863688609,9.029145392,-1.008603449,10000,20,100000,100000
TIE 10 TIE 21,1,14664.98761,16.03017456,817177.7275,-160988.9275,1.466498761,0.801508728,8.171777275,-1.609889275,10000,20,100000,100000
TIE 10 TIE 21,1,14776.66424,15.74123981,790698.0638,-180492.6047,1.477666424,0.787061991,7.906980638,-1.804926047,10000,20,100000,100000
TIE 10 TIE 21,1,14710.08462,16.25298473,834325.5754,-149258.4885,1.471008462,0.812649236,8.343255754,-1.492584885,10000,20,100000,100000
TIE 10 TIE 21,1,14606.74803,16.1860868,854451.1947,-49180.30109,1.460674803,0.80930434,8.544511947,-0.491803011,10000,20,100000,100000
TIE 10 TIE 21,1,14496.50445,17.02069305,901392.7909,-95239.22419,1.449650445,0.851034653,9.013927909,-0.952392242,10000,20,100000,100000
TIE 10 TIE 21,1,14690.3291,15.88164461,814840.3371,-172555.7989,1.46903291,0.79408223,8.148403371,-1.725557989,10000,20,100000,100000
TIE 10 TIE 21,1,14764.84349,16.14469981,814450.0047,-183787.0951,1.476484349,0.807234991,8.144500047,-1.837870951,10000,20,100000,100000
